build,opp,tier,policy,run,outcome,elapsed,dealt,taken,pParts,pStart,eParts,eStart,pFlipS,eFlipS,pStruct,eStruct,pKJ,pCap,eKJ,eCap,pFlat,eFlat,maxRate,drives,cause
qa_r1_b5_discus,mauler,Veteran,afk,2,PlayerWin,90.0,180,158,11,11,10,11,1.7,0.2,1.00,0.91,219,300,149,300,False,False,0.00,0,"Judges' decision — damage 180 vs 158 (12.4% margin) · pieces 11/11 vs 10/11 — damage inside the draw band, decided on structure retained"
qa_r1_b5_discus,mauler,Veteran,afk,3,PlayerLoss,90.0,212,332,10,11,10,11,0.8,0.0,0.91,0.91,219,300,142,300,False,False,0.00,0,"Judges' decision — damage 212 vs 332 (36.2% margin) · pieces 10/11 vs 10/11 — decided on damage"
qa_r1_b6_maul_abs,mauler,Veteran,afk,0,PlayerLoss,90.0,0,289,10,12,10,11,1.8,0.0,0.83,0.91,217,300,135,300,False,False,14.00,66,"Judges' decision — damage 0 vs 289 (100.0% margin) · pieces 10/12 vs 10/11 — decided on damage"
qa_r1_b6_maul_abs,mauler,Veteran,afk,1,PlayerLoss,90.0,54,282,7,12,10,11,2.5,0.5,0.58,0.91,219,240,114,300,False,False,14.00,64,"Judges' decision — damage 54 vs 282 (81.0% margin) · pieces 7/12 vs 10/11 — decided on damage"
qa_r1_b6_maul_abs,mauler,Veteran,afk,2,PlayerLoss,90.0,168,306,7,12,10,11,1.5,0.4,0.58,0.91,204,300,114,300,False,False,14.00,66,"Judges' decision — damage 168 vs 306 (45.0% margin) · pieces 7/12 vs 10/11 — decided on damage"
qa_r1_b6_maul_abs,mauler,Veteran,afk,3,PlayerLoss,90.0,17,166,10,12,10,11,0.0,0.1,0.83,0.91,259,300,103,300,False,False,14.00,67,"Judges' decision — damage 17 vs 166 (90.0% margin) · pieces 10/12 vs 10/11 — decided on damage"
qa_r1_b2_vortex,widowmaker,Champion,charge,0,PlayerLoss,14.9,0,509,0,14,11,11,0.6,0.4,0.00,1.00,0,0,244,300,True,False,16.67,1,"KO — your core was destroyed"
qa_r1_b2_vortex,widowmaker,Champion,charge,1,PlayerWin,32.8,925,423,9,14,8,11,0.0,19.9,0.64,0.73,159,300,0,0,False,True,16.67,1,"Enemy counted out — flipped onto its back — its gyro had already been sheared off, leaving only the slow emergency struts"
qa_r1_b2_vortex,widowmaker,Champion,charge,2,PlayerWin,37.9,229,319,9,14,9,11,5.2,0.5,0.64,0.82,188,300,0,60,False,True,16.67,1,"Enemy counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 28 s"
qa_r1_b2_vortex,bulwark,Champion,charge,0,PlayerWin,54.1,284,144,12,14,11,13,3.4,0.0,0.86,0.85,137,300,0,60,False,True,16.67,1,"Enemy counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 44 s"
